location,date,description,image,map
Downtown - St Louis MO,07/14/2025,"Got in a nice and easy Sunday ride in a pretty empty Downtown St Louis. Aside from a light crowd around Busch Stadium for a long rain-delayed game, the city was a ghosttown. I got to ride around the Arch, watch some of the game from outside sitting on my bike, ride the warf, Union Station. Nice little ride.",https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-6/520013494_10163791830677658_9006341642411111738_n.jpg?stp=cp6_dst-jpegr_tt6&_nc_cat=111&ccb=1-7&_nc_sid=f727a1&_nc_ohc=4Dd9BjPh0pkQ7kNvwE7GLbQ&_nc_oc=AdkMnPt74a4tns6znbxZPCVecNhs1JonKPJ4n-_8-sPqRcdemT5Uf5gd0zrP9y8qp2nsIxqdf975cmIZiux6uK5d&_nc_zt=23&se=-1&_nc_ht=scontent-iad3-2.xx&_nc_gid=FWR5bLSToaMS18fv2w7-wA&oh=00_AfX_Jhna_j6_uo9jKLQ-cvdugonOTD6HNArgPRbnEE2A8Q&oe=68AC3B43,https://www.komoot.com/tour/2403267836/embed?share_token=a6dkd04EDYHUZ74ob5FrNXMg3qfABX8ABCsKC3BP3h28N0rBEC
Garden of the Gods - Colorado Springs CO,07/11/2025,Awesome early morning ride. Old Colorado Springs. Manitou Springs. Garden of the Gods. I could ride around there all day. Highlight...I rode across a fun little bike resort. Might be a fun place for a future stay.,https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-6/518211461_10163761625662658_3660631683935587357_n.jpg?stp=cp6_dst-jpegr_tt6&_nc_cat=111&ccb=1-7&_nc_sid=f727a1&_nc_ohc=t9OK7w2pgrkQ7kNvwE5MoSU&_nc_oc=AdmI4MZWMtgexWg7BdRoMVBVdRirpjwfM3V1RbUmXLgw1Ny9F-ZRkpuKpbY7bWaEEXm8yMin2sLWTEngjcH4togu&_nc_zt=23&se=-1&_nc_ht=scontent-iad3-2.xx&_nc_gid=fNA8zIAk8ahwkZM043rZLA&oh=00_AfXCIfg3srGb6wSG0Vs9T8_US_euU0DWouPxAiZISlPEQA&oe=68AC5538,https://www.komoot.com/tour/2395256929/embed?share_token=aNQ8UN4Vs8Hq6vrq0GXAGBVxP91i56QxRA6FXGqsYI9Bzl9RQT
Scenic 128 - Moab UT,07/06/2025,"BUCKET LIST RIDE!!! I've been riding this route via a video on my Peleton for years. Today, I finally got to actually ride it and IT. WAS. AWESOME.",https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-6/515498302_10163716207042658_7658663271494156295_n.jpg?stp=cp6_dst-jpegr_tt6&_nc_cat=106&ccb=1-7&_nc_sid=f727a1&_nc_ohc=TwFEm-L5mloQ7kNvwGp03PL&_nc_oc=AdlS_yP8r_Dp0y1VnnInC3GU15NAWAWPGirPU8ZYxv9WGMIoJVNKK-vSBH1HZs-ZkHC5N4XLU9liN3Z-cfr-UXvj&_nc_zt=23&se=-1&_nc_ht=scontent-iad3-2.xx&_nc_gid=e03VLBhsbQ9luYkB6LOPRQ&oh=00_AfWdqnaF47An-G3lfYwFrWlMT330vxFL9Lvr1400U0Shtw&oe=68AC425F,https://www.komoot.com/tour/2384510073/embed?share_token=ar9us9W0Lj2sj2K8Ak1cCHJve6VMcTK6mRqlKDgvcBjVw7Yfmn
Park City UT,06/04/2025,"A festive 4th of July ride around a cool mountain resort town that incuded a little more climbing than I expected and ended with a drove show. I still prefer firewors, but it was a cool day.",https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-6/515507265_10163699919757658_488259650604321152_n.jpg?stp=cp6_dst-jpegr_tt6&_nc_cat=109&ccb=1-7&_nc_sid=f727a1&_nc_ohc=WsS-wZ8YRM8Q7kNvwFw__55&_nc_oc=AdnicwWppltHW9KjRsOmYq_J9KYiQ89NGOpYLh69LGhWNRSm_BtUkuNEkSDMDxIYxOsfow4NT1AmVhShwJqipEJi&_nc_zt=23&se=-1&_nc_ht=scontent-iad3-1.xx&_nc_gid=ZGUxImjL57ek1XE6Cn4olA&oh=00_AfUfjGpPsKfpRnf9mtePIBj1Uw9mJo39YK7uJE-T_l2ZnQ&oe=68AC52B7,https://www.komoot.com/tour/2378792887/embed?share_token=a5XFocooI0oOBL0mSx2ZO69Kdt2BVQUfD3QvEMoOuXMuWRyVdo
Grand Teton NP,07/03/2025,So many fanbtastic views!,https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-6/515504144_10163691418222658_6263100142331612343_n.jpg?stp=cp6_dst-jpegr_tt6&_nc_cat=107&ccb=1-7&_nc_sid=f727a1&_nc_ohc=8j3HcHG4_H8Q7kNvwHf73rV&_nc_oc=Adlhrqyd9QKbHNVVGkE3VTIhMDZobCN1nABV6rd48PtJcXf4kDLH2tZ-hTHJXZmply-ywH57bWSlaQQrvXVMiAMW&_nc_zt=23&se=-1&_nc_ht=scontent-iad3-1.xx&_nc_gid=z5HePXIeqWphzJpIz_Ps8w&oh=00_AfXc3v6LhSLJTYQWVUIpgn3kYP7b0ZNiHxclPWYBGY8hCw&oe=68AC598D,https://www.komoot.com/tour/2376211880/embed?share_token=aCJ9Tc5frufdrJvsjlFNrXrnE3TbgF4kVQxbapYpmmbmnAwXyA
Mah Dah Hey Trail - Medora ND,06/30/2025,"I've been wanting to ride Mah Dah Hey for a long time and it did not disappoint. I followed a trip I mapped at on Komoot. At want point, the map took me to what i thought would be a bridge a bridge across the Little Missouri River. When I got there...no bridge. It was close to dark and riding back the way I cam would have added about 10 miles, so I took off my boots, tied them around my neck and swam my bile across the river. Loved every minute of it.",https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-6/514140345_10163670358802658_5021232448306660908_n.jpg?stp=cp6_dst-jpegr_tt6&_nc_cat=109&ccb=1-7&_nc_sid=f727a1&_nc_ohc=safeqMdI3TEQ7kNvwHoNZeE&_nc_oc=AdkzhILTO1oqfmDjc760onCiEhP1hWwlih9QEAes2LxzNe9-TRlTHANwxrCwCIL3dGvHsxBNLFsOq2WLseF_IpPK&_nc_zt=23&se=-1&_nc_ht=scontent-iad3-1.xx&_nc_gid=XhMSsxXChmrN0ykaAjanZg&oh=00_AfWAHOAkayRyxzrFo00O6SIp6kQxHR0M-3urMQxVg4xyzg&oe=68AC42B6,https://www.komoot.com/tour/2369615081/embed?share_token=aHZe9s9OlDmyWKfFr1pFv51W9hBu4FSWd1Mp31neRoVDid13c1
Needles Highway - Black Hills SD,06/29/2025,"Another bucket list ride in the bag. I want later in the day after a rain storm and the road was surprisingly quiet. The ride up was incredible. On the way back down, I stopped to take a picture of one of the tunnels. As I was putting my phone back on my bike, I saw a cougar peak it's head thru the tunnel. Ughhhh! I waited for a car to drive the tunnel before I built up the nerve to do it myself.",https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-6/513905125_10163664117472658_6044580301006890737_n.jpg?stp=cp6_dst-jpegr_tt6&_nc_cat=100&ccb=1-7&_nc_sid=f727a1&_nc_ohc=G8uq-RnEXl8Q7kNvwHlgjIz&_nc_oc=AdkE2t_Cckse-T76d7rz0-5Jk-EjcfvK1_OYODos07u_u3uVBgmg8dMVwfw1Y0C2YkOVFXtcCllmBpZ1HYKOjfgw&_nc_zt=23&se=-1&_nc_ht=scontent-iad3-2.xx&_nc_gid=HlTuJIubjpiONPvbZGdHiQ&oh=00_AfW4aI3JdBoo3UBuW8zksLhnG-QA_YOh9iKzRhZbDFRHng&oe=68AC72C0,https://www.komoot.com/tour/2367416337/embed?share_token=awHaC7fuKPWjD3NDeeR7SsGIIFfsnok6zHemXHn2NlEYhbsZgy
Souix Falls SD,06/27/2025,Souix Falls is one of my faovrite towns. There are great paths to ride and always tons to see. The falls are incredible and I'll ride there any chance I get. It reminds me a lot of Richmond bult around the James River.,https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-6/513819315_10163652803592658_4437588629371607310_n.jpg?stp=cp6_dst-jpegr_tt6&_nc_cat=109&ccb=1-7&_nc_sid=f727a1&_nc_ohc=2IyjDCzscY4Q7kNvwEiwWag&_nc_oc=AdnRoCzZKV21cHmsvkeOhRE5WbZRMf3p-jj7U4GKNJ-k7r8sKZwSwoHfLhtRcqMQtXyagXTs25wwHpqqGVHc5bv_&_nc_zt=23&se=-1&_nc_ht=scontent-iad3-1.xx&_nc_gid=pVLT4KcNHDl-uOs5wots8Q&oh=00_AfXWgXI3IuCz63w-XqOXdTcXlHqKCprP53jmGpHM9-BJ-w&oe=68AC5DA7,https://www.komoot.com/tour/2361264231/embed?share_token=a4ca9zCzCpj3KbcncoQNZhzwSOxOrC83M22Av6ozgQTnank0OV
Virginia Beach VA,06/26/2025,I lived in Virginia Beach a couple summers in college and I always love going back. tons of great places to ride. It's changes soooo much since my day.,https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-6/500300110_10163488107792658_7647160172018778595_n.jpg?stp=cp6_dst-jpegr_tt6&_nc_cat=103&ccb=1-7&_nc_sid=f727a1&_nc_ohc=gK_BJvOU6SUQ7kNvwFTlK5h&_nc_oc=AdnexfOwi2QmIhs0R6uX5Pou2qUSP6LzSN6CaPxafaSPdMq8agAZYxTFMppr5dkwuai7Z9HaHyaw2xgFVjbpqkRD&_nc_zt=23&se=-1&_nc_ht=scontent-iad3-2.xx&_nc_gid=str09W55tLWg_o2FcWtREA&oh=00_AfWMRqf_AMLM-Ogxpp1X1wx6RR4swqh8eJpa5yR-v7E2zA&oe=68AC4233,https://www.komoot.com/tour/2265429180/embed?share_token=apX0wSMO0Orzz6KJ9Pigphf9Ok8D4n1IPlH8eUolwvlg1DrXVt
Upper Shirley Wine Ride - Richmond VA,06/07/2025,Nothing beats a wine ride!,https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-6/504956651_10163544650922658_7886176520191345688_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=f727a1&_nc_ohc=effLjL0C1XkQ7kNvwF-doKT&_nc_oc=Adms9M-2nnNnRWvkPn9OcmFOig9_W7lPyhf3THVVe8SWgbPtUIRq-c5wVb3VT3EvzDDKNoCUG_7WuhxFu1V-aG-4&_nc_zt=23&_nc_ht=scontent-iad3-1.xx&_nc_gid=Rr1tR5ZMpk_xYAbmirjDMA&oh=00_AfU-59XCYr4mmg4J8uQvUobVnlIne0LqUAQ6KcsEDzAeNQ&oe=68ACEF3D,https://www.komoot.com/tour/2265429180/embed?share_token=apX0wSMO0Orzz6KJ9Pigphf9Ok8D4n1IPlH8eUolwvlg1DrXVt
